Athlete,Age,Country,Year,Closing Ceremony Date,Sport,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Sven Fischer,34,Germany,2006,2/26/06,Biathlon,2,0,1,3
Martina Glagow-Beck,26,Germany,2006,2/26/06,Biathlon,0,3,0,3
Michael Greis,29,Germany,2006,2/26/06,Biathlon,3,0,0,3
Kati Wilhelm,29,Germany,2006,2/26/06,Biathlon,1,2,0,3
Kati Wilhelm,25,Germany,2002,2/24/02,Biathlon,2,1,0,3
Yohan Blake,22,Jamaica,2012,8/12/12,Athletics,1,2,0,3
Usain Bolt,25,Jamaica,2012,8/12/12,Athletics,3,0,0,3
Allyson Felix,26,United States,2012,8/12/12,Athletics,3,0,0,3
Shelly-Ann Fraser-Pryce,25,Jamaica,2012,8/12/12,Athletics,1,2,0,3
Carmelita Jeter,32,United States,2012,8/12/12,Athletics,1,1,1,3
Usain Bolt,21,Jamaica,2008,8/24/08,Athletics,3,0,0,3
Veronica Campbell-Brown,22,Jamaica,2004,8/29/04,Athletics,2,0,1,3
Justin Gatlin,22,United States,2004,8/29/04,Athletics,1,1,1,3
Bode Miller,32,United States,2010,2/28/10,Alpine Skiing,1,1,1,3
Aksel Lund Svindal,27,Norway,2010,2/28/10,Alpine Skiing,1,1,1,3
Anja PÑrson,24,Sweden,2006,2/26/06,Alpine Skiing,1,0,2,3
Stephan Eberharter,32,Austria,2002,2/24/02,Alpine Skiing,1,1,1,3
Ding Ning,22,China,2012,8/12/12,Table Tennis,1,1,0,2
Feng Tian Wei,25,Singapore,2012,8/12/12,Table Tennis,0,0,2,2
Li Xiaoxia,24,China,2012,8/12/12,Table Tennis,2,0,0,2
Dmitrij Ovtcharov,23,Germany,2012,8/12/12,Table Tennis,0,0,2,2
Wang Hao,28,China,2012,8/12/12,Table Tennis,1,1,0,2
Zhang Jike,24,China,2012,8/12/12,Table Tennis,2,0,0,2
Guo Yue,20,China,2008,8/24/08,Table Tennis,1,0,1,2
Ma Lin,28,China,2008,8/24/08,Table Tennis,2,0,0,2
Wang Hao,24,China,2008,8/24/08,Table Tennis,1,1,0,2
Wang Liqin,30,China,2008,8/24/08,Table Tennis,1,0,1,2
Wang Nan,29,China,2008,8/24/08,Table Tennis,1,1,0,2
Zhang Yining,26,China,2008,8/24/08,Table Tennis,2,0,0,2
Zhang Yining,22,China,2004,8/29/04,Table Tennis,2,0,0,2
Kong Linghui,24,China,2000,10/1/00,Table Tennis,1,1,0,2
Li Ju,24,China,2000,10/1/00,Table Tennis,1,1,0,2
Liu Guoliang,24,China,2000,10/1/00,Table Tennis,0,1,1,2
Wang Nan,21,China,2000,10/1/00,Table Tennis,2,0,0,2
Viktoriya Azarenko,22,Belarus,2012,8/12/12,Tennis,1,0,1,2
Mike Bryan,34,United States,2012,8/12/12,Tennis,1,0,1,2
Andy Murray,25,Great Britain,2012,8/12/12,Tennis,1,1,0,2
Serena Williams,30,United States,2012,8/12/12,Tennis,2,0,0,2
Fernando Gonz†lez,24,Chile,2004,8/29/04,Tennis,1,0,1,2
Nicol†s Mass£,26,Chile,2004,8/29/04,Tennis,2,0,0,2
Venus Williams,20,United States,2000,10/1/00,Tennis,2,0,0,2
Ona Carbonell,22,Spain,2012,8/12/12,Synchronized Swimming,0,1,1,2
Andrea Fuentes,29,Spain,2012,8/12/12,Synchronized Swimming,0,1,1,2
Huang Xuechen,22,China,2012,8/12/12,Synchronized Swimming,0,1,1,2
Nataliya Ishchenko,26,Russia,2012,8/12/12,Synchronized Swimming,2,0,0,2
Liu Ou,25,China,2012,8/12/12,Synchronized Swimming,0,1,1,2
Svetlana Romashina,22,Russia,2012,8/12/12,Synchronized Swimming,2,0,0,2
Anastasiya Davydova,25,Russia,2008,8/24/08,Synchronized Swimming,2,0,0,2
Andrea Fuentes,25,Spain,2008,8/24/08,Synchronized Swimming,0,2,0,2
Gemma Mengual,31,Spain,2008,8/24/08,Synchronized Swimming,0,2,0,2
Anastasiya Yermakova,25,Russia,2008,8/24/08,Synchronized Swimming,2,0,0,2
Alison Bartosik,21,United States,2004,8/29/04,Synchronized Swimming,0,0,2,2
Anastasiya Davydova,21,Russia,2004,8/29/04,Synchronized Swimming,2,0,0,2
Anna Kozlova,31,United States,2004,8/29/04,Synchronized Swimming,0,0,2,2
Miya Tachibana,29,Japan,2004,8/29/04,Synchronized Swimming,0,2,0,2
Miho Takeda,27,Japan,2004,8/29/04,Synchronized Swimming,0,2,0,2
Anastasiya Yermakova,21,Russia,2004,8/29/04,Synchronized Swimming,2,0,0,2
